,Questions,Category0,Category1,Category2
2566,Why do we ask for the `` check '' and not the bill at a restaurant ?,DESCRIPTION,DESC,reason
2567,"Who played the part of the Godfather in the movie , ` The Godfather ' ?",HUMAN,HUM,ind
2568,When was London 's Docklands Light Railway constructed ?,NUMERIC,NUM,date
2569,Who invented the Wonderbra ?,HUMAN,HUM,ind
2570,What is the origin of the proverb `` A stitch in time saves nine '' ?,DESCRIPTION,DESC,desc
2571,What state capital comes last alphabetically ?,LOCATION,LOC,city
2572,Why is Thanksgiving on a Thursday ?,DESCRIPTION,DESC,reason
2573,How do telephones work ?,DESCRIPTION,DESC,manner
2574,What 's the main vegetable in vichyssoise ?,ENTITY,ENTY,food
2575,How long did the Charles Manson murder trial last ?,NUMERIC,NUM,period
2576,How long does it take for your blood to make one complete trip through the body ?,NUMERIC,NUM,period
2577,Who owns the St. Louis Rams ?,HUMAN,HUM,ind
2578,Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?,LOCATION,LOC,other
2579,"What beer tells us , `` Grab all the gusto you can get . '' ?",ENTITY,ENTY,food
2580,What is the geographical center of the US including Alaska and Hawaii ?,LOCATION,LOC,other
2581,Which side of the face do most artists tend to show more of in self-portraits ?,ENTITY,ENTY,other
2582,What is diabetes ?,DESCRIPTION,DESC,def
2583,What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?,ENTITY,ENTY,event
2584,When do MORMONS believe Christ was born ?,NUMERIC,NUM,date
2585,In what year was actress Joan Collins born ?,NUMERIC,NUM,date
2586,What is a fear of punishment ?,ENTITY,ENTY,dismed
2587,What is average salary of restaurant manager in United States ?,NUMERIC,NUM,money
2588,What comic strip sometimes features a mailman named Beasley ?,ENTITY,ENTY,cremat
2589,What device provided a new way to listen to music in 1963 ?,ENTITY,ENTY,other
2590,"What will a kid eat the middle of , and save the chocolate on the outside for last ?",ENTITY,ENTY,food
2591,"On average , how long time does it take to type a screenplay ?",NUMERIC,NUM,period
2592,What does the abbreviation IOC stand for ?,ABBREVIATION,ABBR,exp
2593,What 's a short ton ?,DESCRIPTION,DESC,def
2594,How long do cardinal eggs incubate ?,NUMERIC,NUM,period
2595,What two body parts grow all your life ?,ENTITY,ENTY,body
2596,What Texas surgeon performed the first artificial heart transplant ?,HUMAN,HUM,ind
2597,What country has the port of Haifa ?,LOCATION,LOC,country
2598,What is the main ingredient of yogurt ?,ENTITY,ENTY,substance
2599,What is the recipe for Eggs Benedict ?,ENTITY,ENTY,food
2600,"What is the address for the main government office in Rome , Italy ?",LOCATION,LOC,other
2601,What 's the largest U.S. agricultural crop by weight ?,ENTITY,ENTY,food
2602,What is the electronic device used to produce visual displays corresponding to electric signals ?,ENTITY,ENTY,other
2603,What is goldenseal ?,DESCRIPTION,DESC,def
2604,Who made the most appearances in the center square on Hollywood Squares ?,HUMAN,HUM,ind
2605,What is the Lost Colony ?,DESCRIPTION,DESC,def
2606,What is the chemical composition of a Barbie ?,ENTITY,ENTY,substance
2607,How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,NUMERIC,NUM,count
2608,What store claims to be the world 's largest department store ?,HUMAN,HUM,gr
2609,What is the lens behind the iris in the eye called ?,ENTITY,ENTY,termeq
2610,What is Tetrinet ?,DESCRIPTION,DESC,def
2611,What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,HUMAN,HUM,ind
2612,What is the longest English word that can be formed using just the first row of letters on a typewriter ?,ENTITY,ENTY,word
2613,What is Chiricahua the name of ?,ENTITY,ENTY,termeq
2614,What 's the green variety of beryl called ?,ENTITY,ENTY,termeq
2615,What was the name of Captain Bligh 's ship ?,ENTITY,ENTY,veh
2616,Which is heavier - cream or milk ?,ENTITY,ENTY,food
2617,Who said `` the only thing we have to fear is fear itself '' ?,HUMAN,HUM,ind
2618,Where is Romania located ?,LOCATION,LOC,other
2619,How many films are made by the major studios in a year ?,NUMERIC,NUM,count
2620,How many small businesses are there in the U.S .,NUMERIC,NUM,count
2621,What age is Benny Carter ?,NUMERIC,NUM,period
2622,How do you clean an LCD monitor screen ?,DESCRIPTION,DESC,manner
2623,What city did the Mormons establish as their headquarters in 1847 ?,LOCATION,LOC,city
2624,What is amezaiku ?,DESCRIPTION,DESC,def
2625,What two countries are linked by the Brenner Pass ?,LOCATION,LOC,country
2626,What new games are available for Nintendo 64 ?,ENTITY,ENTY,sport
2627,Mississippi has what name for a state nickname ?,LOCATION,LOC,state
2628,What is the predominant color of the Tab label ?,ENTITY,ENTY,color
2629,What U.S. city was named for St. Francis of Assisi ?,LOCATION,LOC,city
2630,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?",NUMERIC,NUM,count
2631,What is the definition of `` chancery '' file in real estate ?,DESCRIPTION,DESC,def
2632,Who is the sexiest women in the world ?,HUMAN,HUM,ind
2633,What day is known as the `` national day of prayer '' ?,NUMERIC,NUM,date
2634,Where can I get a photograph of professor Randolph Quirk ?,LOCATION,LOC,other
2635,Who was the supreme god of Germanic religion ?,HUMAN,HUM,ind
2636,How do you handle a hungry man ?,DESCRIPTION,DESC,manner
2637,Who 's played the most games for the New York Yankees ?,HUMAN,HUM,ind
2638,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?",HUMAN,HUM,ind
2639,What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?,HUMAN,HUM,ind
2640,What are the conjugations of wake and woke ?,ENTITY,ENTY,word
2641,What Chilean president was killed in a 1973 coup d 'etat ?,HUMAN,HUM,ind
2642,What was Einstein 's IQ ?,NUMERIC,NUM,other
2643,Name the first Russian astronaut to do a spacewalk .,HUMAN,HUM,ind
2644,Why do eyes sometimes look red in photographs ?,DESCRIPTION,DESC,reason
2645,What are John C. Calhoun and Henry Clay known as ?,ENTITY,ENTY,termeq
2646,What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?,HUMAN,HUM,ind
2647,What are some good exercises for kids to do ?,ENTITY,ENTY,sport
2648,How many real fruit juices are there in a can of Hawaiian Punch ?,NUMERIC,NUM,count
2649,What is the abbreviation of the National Bureau of Investigation ?,ABBREVIATION,ABBR,abb
2650,What is the principal river of Ireland ?,LOCATION,LOC,other
2651,What lake is the source of the White Nile ?,LOCATION,LOC,other
2652,Garry Kasparov plays what game ?,ENTITY,ENTY,sport
2653,How much does a poodle weigh ?,NUMERIC,NUM,weight
2654,What is Zionism ?,DESCRIPTION,DESC,def
2655,What cable network bills itself as `` the family entertainer '' ?,HUMAN,HUM,gr
2656,How many points are there on a Backgammon board ?,NUMERIC,NUM,count
2657,What have you not let a tennis ball do if you volley ?,DESCRIPTION,DESC,desc
2658,Which comic book was not spawned directly from the pulp magazines ?,ENTITY,ENTY,cremat
2659,"What product is for kids , and not for silly rabbits ?",ENTITY,ENTY,product
2660,What else has the swastika stood for ?,DESCRIPTION,DESC,def
2661,"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?",DESCRIPTION,DESC,reason
2662,How many frames does a disk camera shoot ?,NUMERIC,NUM,count
2663,What are the 7 Wonders of the World ?,ENTITY,ENTY,other
2664,When did Theo Rousseau paint the `` Forest of Fontaine '' ?,NUMERIC,NUM,date
2665,How many people have been Captain America ?,NUMERIC,NUM,count
2666,What is meant by the term `` yield to maturity '' in reference to bonds ?,DESCRIPTION,DESC,def
2667,"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",ENTITY,ENTY,food
2668,How did the war of 1812 affect Delaware ?,DESCRIPTION,DESC,manner
2669,Where is the human skin least sensitive ?,ENTITY,ENTY,body
2670,"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?",HUMAN,HUM,ind
2671,What is the biggest `` thing '' humans have made ?,ENTITY,ENTY,other
2672,What are all the rivers in Europe ?,LOCATION,LOC,other
2673,Who won the Superbowl in ?,HUMAN,HUM,ind
2674,What five cards make up a perfect Cribbage hand ?,ENTITY,ENTY,other
2675,In what year was Gandhi assassinated ?,NUMERIC,NUM,date
2676,What is the time it takes a typist to type a screenplay that is 100 pages long ?,NUMERIC,NUM,period
2677,What is the full classification of a lady bug ?,ENTITY,ENTY,animal
2678,What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,HUMAN,HUM,ind
2679,How many pairs of wings does a tsetse fly have ?,NUMERIC,NUM,count
2680,What was the name of the peace agreement imposed on Germany after World War I ?,ENTITY,ENTY,other
2681,What 's the fifth-largest country in the world ?,LOCATION,LOC,country
2682,How do you box train a cat ?,DESCRIPTION,DESC,manner
2683,How was Teddy Roosevelt related to FDR ?,DESCRIPTION,DESC,manner
2684,What newspaper serves Salt Lake City ?,ENTITY,ENTY,cremat
2685,The film `` Jaws '' was made in what year ?,NUMERIC,NUM,date
2686,How does lightning travel ?,DESCRIPTION,DESC,manner
2687,What spice do chefs pay the most for ?,ENTITY,ENTY,food
2688,Who directed Citizen Kane ?,HUMAN,HUM,ind
2689,What is troilism ?,DESCRIPTION,DESC,def
2690,What was the sister ship of the Olympic ?,ENTITY,ENTY,veh
2691,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,HUMAN,HUM,ind
2692,What is HTML ?,ABBREVIATION,ABBR,exp
2693,How do you identify prime numbers ?,DESCRIPTION,DESC,manner
2694,"Whose special bear 's creator was born on January 18 , 1779 ?",HUMAN,HUM,ind
2695,What high school does Archie attend ?,HUMAN,HUM,gr
2696,What animal migrates the farthest ?,ENTITY,ENTY,animal
2697,What film was based on the play Everybody Comes to Rick 's ?,ENTITY,ENTY,cremat
2698,Why do we call someone `` honey '' ?,DESCRIPTION,DESC,reason
2699,Madonna hocks which soft drink ?,ENTITY,ENTY,food
2700,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,HUMAN,HUM,gr
2701,In what country is Lund ?,LOCATION,LOC,country
2702,What 's the sequel to Alice 's Adventures in Wonderland ?,ENTITY,ENTY,cremat
2703,What is the capital of Seattle ?,LOCATION,LOC,city
2704,What Italian leader had a lifelong fear of the evil eye ?,HUMAN,HUM,ind
2705,What city in Florida is Sea World in ?,LOCATION,LOC,city
2706,Who said : `` What contemptible scoundrel stole the cork from my lunch ? '',HUMAN,HUM,ind
2707,What 's a water funnel ?,DESCRIPTION,DESC,def
2708,What is a fear of worms ?,ENTITY,ENTY,dismed
2709,What is a Chinese `` spouting '' bowl ?,DESCRIPTION,DESC,def
2710,What does an emperor do ?,DESCRIPTION,DESC,desc
2711,What president kissed the Queen Mother on the lips ?,HUMAN,HUM,ind
2712,Where does the tennis star Stefan Edberg come from ?,LOCATION,LOC,other
2713,What continent pushes up the Executive Committee mountain range ?,LOCATION,LOC,other
2714,How do they raise the cranes when building high-rise buildings ?,DESCRIPTION,DESC,manner
2715,"What was Al Capone finally imprisoned for , in 1931 ?",DESCRIPTION,DESC,reason
2716,What food can I use to catch a possum ?,ENTITY,ENTY,food
2717,What was Al Capone 's nickname ?,HUMAN,HUM,ind
2718,Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?,HUMAN,HUM,ind
2719,What is the largest city in Germany ?,LOCATION,LOC,city
2720,What is a fear of cholera ?,ENTITY,ENTY,dismed
2721,What park contains Firehole River and Fairy Falls ?,LOCATION,LOC,other
2722,What 's the largest island in the West Indies ?,LOCATION,LOC,other
2723,What New England state carries the telephone area code 27 ?,LOCATION,LOC,state
2724,What is an example of a natural acid-base indicator ?,ENTITY,ENTY,other
2725,In what county is Eckley Colorado ?,LOCATION,LOC,other
2726,How do I find info about rice importers in the world ?,DESCRIPTION,DESC,manner
2727,"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?",NUMERIC,NUM,money
2728,What is the song Stairway to Heaven by Led Zeppelin about ?,DESCRIPTION,DESC,desc
2729,How does hair curl ?,DESCRIPTION,DESC,manner
2730,What are pushed and coupled in hump yards ?,ENTITY,ENTY,other
2731,How long do hermit crabs live ?,NUMERIC,NUM,period
2732,What city hosted the first Winter Olympics in Asia ?,LOCATION,LOC,city
2733,What is the origin of the first name ` Breony ' ?,DESCRIPTION,DESC,desc
2734,What month were you born in if your birthstone is sardonyx ?,NUMERIC,NUM,date
2735,Who is behind the name of the Harvey Wallbanger drink ?,HUMAN,HUM,ind
2736,What is the origin of `` Beauty is in the eye of the beholder '' ?,DESCRIPTION,DESC,desc
2737,"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",ENTITY,ENTY,food
2738,What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,ENTITY,ENTY,cremat
2739,Madonna advertises for what soft drink ?,ENTITY,ENTY,food
2740,What does A&amp;W of root beer fame stand for ?,ABBREVIATION,ABBR,exp
2741,What tennis term is said to come from the French word for egg ?,ENTITY,ENTY,termeq
2742,What does a collier mine ?,ENTITY,ENTY,other
2743,How much money can a person be fined for having a dog on a beach ?,NUMERIC,NUM,money
2744,"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?",LOCATION,LOC,country
2745,What are the ages in comic book lingo ?,ENTITY,ENTY,event
2746,What kinds of animals are in Cambodia ?,ENTITY,ENTY,animal
2747,What South African producer had a 1988 profit of $836 million ?,HUMAN,HUM,gr
2748,What American actress was the first to be called a `` vamp '' ?,HUMAN,HUM,ind
2749,What do the 12 days of Christmas mean ?,DESCRIPTION,DESC,def
2750,"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",ENTITY,ENTY,cremat
2751,What date did man first land on the moon ?,NUMERIC,NUM,date
2752,Where are the headquarters of Eli Lilly ?,LOCATION,LOC,other
2753,How many web servers are there ?,NUMERIC,NUM,count
2754,What 's the last line of Dickens 's A Christmas Carol ?,DESCRIPTION,DESC,desc
2755,How many trees go into paper making in a year ?,NUMERIC,NUM,count
2756,Where can I find info on research being done on oilseeds thru genetics ?,LOCATION,LOC,other
2757,How come light bulbs go out ?,DESCRIPTION,DESC,reason
2758,For what reason did the Shea &amp; Gould law firm close their L.A. office ?,DESCRIPTION,DESC,reason
2759,How far out is the universe ?,NUMERIC,NUM,dist
2760,What is the difference between a bottle and a jar ?,DESCRIPTION,DESC,desc
2761,What disease is the second-biggest killer of North Americans ?,ENTITY,ENTY,dismed
2762,Where did the Mayan Indians live ?,LOCATION,LOC,other
2763,Where was Poe born ?,LOCATION,LOC,other
2764,What happens to the female body with lack of sleep and food ?,DESCRIPTION,DESC,desc
2765,What is a fear of crystals or glass ?,ENTITY,ENTY,dismed
2766,Name a product that controls the ripening of apples .,ENTITY,ENTY,product
2767,How many warmup pitches does a reliever get coming into a baseball game ?,NUMERIC,NUM,count
2768,Where did Dylan Thomas die ?,LOCATION,LOC,other
2769,What common livestock have the greatest variety of breeds ?,ENTITY,ENTY,animal
2770,What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,ENTITY,ENTY,cremat
2771,What disease did August von Wassermann develop a specific test for in 196 ?,ENTITY,ENTY,dismed
2772,What card company sells Christmas ornaments ?,HUMAN,HUM,gr
2773,How do I find out what cities are in a certain area code ?,DESCRIPTION,DESC,manner
2774,What can communications satellites offer yachts ?,ENTITY,ENTY,other
2775,How many Fig Newtons are there to the pound ?,NUMERIC,NUM,count
2776,Who is the premier of China ?,HUMAN,HUM,ind
2777,What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?,HUMAN,HUM,ind
2778,How many bones are there in the human hand ?,NUMERIC,NUM,count
2779,What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?,HUMAN,HUM,gr
2780,Who was the president of Vichy France ?,HUMAN,HUM,ind
2781,Whose kidnaping was termed The Crime of the Century ?,HUMAN,HUM,ind
2782,What is hydrogen ?,DESCRIPTION,DESC,def
2783,What group asked the musical question Do You Believe in Magic ?,HUMAN,HUM,gr
2784,What was the tallest building in America in 1922 ?,LOCATION,LOC,other
2785,What buxom blonde appeared on the cover of more than 5 magazines ?,HUMAN,HUM,ind
2786,What is recruitment interview technique ?,DESCRIPTION,DESC,def
2787,How does a hurricane form ?,DESCRIPTION,DESC,manner
2788,What does the donation process entail ?,DESCRIPTION,DESC,def
2789,How far is it from Phoenix to Blythe ?,NUMERIC,NUM,dist
2790,What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?,LOCATION,LOC,city
2791,How many people watch network television ?,NUMERIC,NUM,count
2792,"What garment was named for Bradley , Voorhees and Day ?",ENTITY,ENTY,product
2793,Who first broke the sound barrier ?,HUMAN,HUM,ind
2794,How do birds have sex ?,DESCRIPTION,DESC,manner
2795,How many horses are there on a polo team ?,NUMERIC,NUM,count
2796,What 's destroyed in Genesis 19 : 24 ?,ENTITY,ENTY,other
2797,What new year is celebrated on February 16th ?,ENTITY,ENTY,event
2798,What is Occam 's Razor ?,DESCRIPTION,DESC,def
2799,Where do the Grimace and Mayor McCheese live ?,LOCATION,LOC,other
2800,How long does it take to hike the entire Appalachian Trail ?,NUMERIC,NUM,period
2801,What role do fruits play in the survival of plants ?,HUMAN,HUM,ind
2802,Where is the world championship sled dog race held each February ?,LOCATION,LOC,other
2803,What are the medical purposes of `` clitoridectomy '' ?,DESCRIPTION,DESC,reason
2804,How is thalassemia defined ?,DESCRIPTION,DESC,def
2805,What 's the name of the Tampa newspaper ?,ENTITY,ENTY,cremat
2806,What is a storm surge ?,DESCRIPTION,DESC,def
2807,How do you use `` farther '' as opposed to `` further '' ?,DESCRIPTION,DESC,manner
2808,What was the alternate to VHS ?,ENTITY,ENTY,other
2809,What is one of the languages of the Sioux ?,ENTITY,ENTY,lang
2810,What Pulitzer Prize-winning novelist ran for mayor of New York City ?,HUMAN,HUM,ind
2811,How many times can a nickel-cadmium rechargeable battery be recharged ?,NUMERIC,NUM,count
2812,How is cologne made ?,DESCRIPTION,DESC,manner
2813,What was the food of the Greek gods called ?,ENTITY,ENTY,food
2814,What does camera-ready art mean ?,DESCRIPTION,DESC,def
2815,How many seats does the Batmobile sport ?,NUMERIC,NUM,count
2816,How many cards are dealt to each player in Gin Rummy ?,NUMERIC,NUM,count
2817,What happened to Phillip Taylor Kramer ?,DESCRIPTION,DESC,desc
2818,What Erica Jong novel deals with Isadora Wing 's fear ?,ENTITY,ENTY,cremat
2819,What time of year do most people fly ?,NUMERIC,NUM,date
2820,Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?,HUMAN,HUM,ind
2821,What is the origin of the Christmas tree ?,DESCRIPTION,DESC,desc
2822,When is the Thai New Year ?,NUMERIC,NUM,date
2823,What four tournaments make up tennis ' Grand Slam ?,ENTITY,ENTY,sport
2824,What 1964 film introduced the song My Kind of Town ?,ENTITY,ENTY,cremat
2825,Who recorded the 1957 hit Tammy ?,HUMAN,HUM,ind
2826,What is the term for the side of the mountain that faces the prevailing winds ?,ENTITY,ENTY,termeq
2827,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",ENTITY,ENTY,other
2828,What does caliente translate to in English ?,ENTITY,ENTY,termeq
2829,Who is Mia Farrow 's mother ?,HUMAN,HUM,ind
2830,How do you determine if a computer monitor has an SVGA adapter ?,DESCRIPTION,DESC,manner
2831,How far can a human eye see ?,NUMERIC,NUM,dist
2832,What time of year has the most air travel ?,NUMERIC,NUM,date
2833,What does the term `` spaghetti western '' mean ?,DESCRIPTION,DESC,def
2834,When was the G7 group of nations formed ?,NUMERIC,NUM,date
2835,What are differences between 1980 and 1990 ?,DESCRIPTION,DESC,desc
2836,What baseball player was walked the most times ?,HUMAN,HUM,ind
2837,What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?,HUMAN,HUM,ind
2838,What were the first frozen foods ?,ENTITY,ENTY,food
2839,Why is Indiglo called Indiglo ?,DESCRIPTION,DESC,reason
2840,What is the word for love of pain or abuse ?,ENTITY,ENTY,word
2841,When did they canonize the Bible ?,NUMERIC,NUM,date
2842,Who was the only president to serve two nonconsecutive terms ?,HUMAN,HUM,ind
2843,What percentage of all world tornados touch down in the US ?,NUMERIC,NUM,perc
2844,What labor leader was last seen in the parking lot of a Michigan restaurant ?,HUMAN,HUM,ind
2845,When did the Carolingian period begin ?,NUMERIC,NUM,date
2846,What motto ended Merrie Melodies cartoons ?,DESCRIPTION,DESC,desc
2847,Who reports the weather on the `` Good Morning America '' television show ?,HUMAN,HUM,ind
2848,How many emperors were there in the Roman Empire ?,NUMERIC,NUM,count
2849,What was the name of `` The Muppets '' creator ?,HUMAN,HUM,ind
2850,What is Cabarnet Sauvignon ?,DESCRIPTION,DESC,def
2851,What is a virtual IP address ?,DESCRIPTION,DESC,def
2852,What 's the name of the tiger that advertises for Frosted Flakes cereal ?,ENTITY,ENTY,animal
2853,"Who sent the brief message `` I came , I saw , I conquered '' ?",HUMAN,HUM,ind
2854,What color is Mr. Spock 's blood ?,ENTITY,ENTY,color
2855,What U.S. Air Force general led the first bombing raid over Tokyo ?,HUMAN,HUM,ind
2856,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,HUMAN,HUM,ind
2857,"What was the name of the first Watergate special prosecutor , later fired by Nixon ?",HUMAN,HUM,ind
2858,How do movie blues screens work ?,DESCRIPTION,DESC,manner
2859,How does the speed the magnet spins in a generator affect the output of the generator ?,DESCRIPTION,DESC,manner
2860,What 's the supreme policy-making bureau of the Soviet Communist Party ?,HUMAN,HUM,gr
2861,What was the Vietnam War ?,DESCRIPTION,DESC,def
2862,What is La Nina ?,DESCRIPTION,DESC,def
2863,Why did the Globe Theatre burn down ?,DESCRIPTION,DESC,reason
2864,On what day were John F and Jackie Kennedy married ?,NUMERIC,NUM,date
2865,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",ENTITY,ENTY,cremat
2866,What is meant by blood SED rate ?,DESCRIPTION,DESC,def
2867,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,HUMAN,HUM,gr
2868,Who won a Pulitzer Prize for his novel The Caine Mutiny ?,HUMAN,HUM,ind
2869,What 's the best way to lose the flab under your chin and around your face ?,ENTITY,ENTY,techmeth
2870,Where is your corpus callosum ?,LOCATION,LOC,other
2871,"What Broadway musical featured the song , `` If I were a rich man ? ''",ENTITY,ENTY,cremat
2872,Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?,HUMAN,HUM,ind
2873,Why is the development of space so important ?,DESCRIPTION,DESC,reason
2874,What is the nursery rhyme Rock-a-by Baby about ?,DESCRIPTION,DESC,desc
2875,"When Superman needs to get away from it all , where does he go ?",LOCATION,LOC,other
2876,How old is singer Freedy Johnston ?,NUMERIC,NUM,period
2877,What is the origin of gametophytic tissue ?,DESCRIPTION,DESC,desc
2878,What does Aaron mean ?,DESCRIPTION,DESC,def
2879,What is a fear of hair ?,ENTITY,ENTY,dismed
2880,What is the name of the pop singer whose song became the theme song for a brand of catsup ?,HUMAN,HUM,ind
2881,What is a conifer ?,DESCRIPTION,DESC,def
2882,Who claimed to be the world 's most perfectly-developed man ?,HUMAN,HUM,ind
2883,What is different about the red and black fox ?,DESCRIPTION,DESC,desc
2884,What is e-commerce ?,DESCRIPTION,DESC,def
2885,How do I tie a tie ?,DESCRIPTION,DESC,manner
2886,Where can I get cotton textiles importer details ?,LOCATION,LOC,other
2887,When did Spain and Korea start ambassadorial relations ?,NUMERIC,NUM,date
2888,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,HUMAN,HUM,gr
2889,What is chromatology ?,DESCRIPTION,DESC,def
2890,How many grooves are on a dime 's edge ?,NUMERIC,NUM,count
2891,How was the ACLU formed ?,DESCRIPTION,DESC,manner
2892,What are the most albums sold by one artist or band ?,ENTITY,ENTY,cremat
2893,The second most popular sport worldwide is what ?,ENTITY,ENTY,sport
2894,What do goldfish lose if kept in dimly-lit or running water ?,ENTITY,ENTY,other
2895,What canal does the Thatcher Ferry Bridge span ?,LOCATION,LOC,other
2896,What American won the world Grand Prix driving championship in 1978 ?,HUMAN,HUM,ind
2897,What are the chances of pregnacy if the penis does not penetrate the vagina ?,NUMERIC,NUM,perc
2898,What 's the highest hand in straight poker ?,ENTITY,ENTY,other
2899,Where can I find a lesson plan for teaching the metric system conversion to American standard ?,LOCATION,LOC,other
2900,What is the name of Kevin Costner 's movie about Sioux Indians ?,ENTITY,ENTY,cremat
2901,"What are Kythnos , Siphnos , Seriphos and Mykonos ?",DESCRIPTION,DESC,def
2902,Name a female figure skater .,HUMAN,HUM,ind
2903,Why are there no white lines on pro footballs ?,DESCRIPTION,DESC,reason
2904,How long would it take for a $ savings bond to mature ?,NUMERIC,NUM,period
2905,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,DESCRIPTION,DESC,manner
2906,What did the Congress of Vienna establish ?,ENTITY,ENTY,other
2907,What is the average cost for four years of medical school ?,NUMERIC,NUM,money
2908,What harmful chemicals are in bug spray ?,ENTITY,ENTY,substance
2909,How many spears are there on Kenya 's flag ?,NUMERIC,NUM,count
2910,What did Mighty Mouse always sing as he went into action ?,DESCRIPTION,DESC,desc
2911,Where did George of the Jungle live ?,LOCATION,LOC,other
2912,How did Bob Marley die ?,DESCRIPTION,DESC,manner
2913,What 's men 's par on a 455-yard golf hole ?,NUMERIC,NUM,other
2914,What percentage of American men are alcoholic ?,NUMERIC,NUM,perc
2915,"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?",NUMERIC,NUM,money
2916,"In South Korea , how many American Soldiers are there ?",NUMERIC,NUM,count
2917,Who portrayed Carl Bernstein in All the President 's Men ?,HUMAN,HUM,ind
2918,What are the numbers that fit into Fermont 's last theorem ?,NUMERIC,NUM,other
2919,Who was Tiny Tim 's father ?,HUMAN,HUM,ind
2920,What does a heliologist study ?,ENTITY,ENTY,other
2921,Who was Bonnie Blue Butler 's father ?,HUMAN,HUM,ind
2922,"What shampoo prevents eczema , seborrhea , and psoriasis ?",ENTITY,ENTY,product
2923,How many Americans have HIV ?,NUMERIC,NUM,count
2924,Where do I find information for foreclosure properties on the Internet ?,LOCATION,LOC,other
2925,Who is the Antichrist ?,HUMAN,HUM,ind
2926,What was the first English play written exclusively for children ?,ENTITY,ENTY,cremat
2927,Which Latin American country is the largest ?,LOCATION,LOC,country
2928,What was the former residence of Scottish kings in Edinburgh ?,LOCATION,LOC,other
2929,How many teats does a female goat sport ?,NUMERIC,NUM,count
2930,How tall is kilamanjaro ?,NUMERIC,NUM,dist
2931,Who was the lawyer who represented Randy Steven Craft ?,HUMAN,HUM,ind
2932,What country buys 25 percent of the world 's tea exports ?,LOCATION,LOC,country
2933,What country is the origin of the band the Creeps ?,LOCATION,LOC,country
2934,What did the crocodile swallow in Peter Pan ?,ENTITY,ENTY,other
2935,What is the origin of the word `` mushroom '' ?,DESCRIPTION,DESC,desc
2936,Which of the following celebrities was not born in Philadelphia ?,HUMAN,HUM,ind
2937,What is the number of American soldiers deployed to South Korea ?,NUMERIC,NUM,other
2938,Where is the biggest bell ?,LOCATION,LOC,other
2939,What is the brand name of the chemical daminozide ?,ENTITY,ENTY,product
2940,How do microwaves work ?,DESCRIPTION,DESC,manner
2941,What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,ENTITY,ENTY,cremat
2942,What is the estimated total U.S. whitetail deer population ?,NUMERIC,NUM,count
2943,Who wrote the Farmer 's Almanac ?,HUMAN,HUM,ind
2944,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",ENTITY,ENTY,animal
2945,What number is at 12 o 'clock on a dartboard ?,NUMERIC,NUM,other
2946,Which team won the Super Bowl in 1968 ?,HUMAN,HUM,gr
2947,What is the recommended daily requirement for folic acid for pregnant women ?,DESCRIPTION,DESC,desc
2948,What film dramatized the Scopes monkey trial ?,ENTITY,ENTY,cremat
2949,CNN is owned by whom ?,HUMAN,HUM,ind
2950,What country offered Albert Einstein its presidency in 1952 ?,LOCATION,LOC,country
2951,What is the HIGHEST Roman numeral ?,DESCRIPTION,DESC,def
